match_id,match_time,home_team,away_team,team_1_code,team_2_code,venue,actual_home_score,actual_away_score
79,2026-07-01 04:00:00,,,1A,3-CEFHI,Mexico City,,
80,2026-07-01 19:00:00,,,1L,3-EHIJK,Atlanta,,
82,2026-07-01 23:00:00,,,1G,3-AEHIJ,Seattle,,
81,2026-07-02 03:00:00,,,1D,3-BEFIJ,San Francisco Bay Area,,
84,2026-07-02 22:00:00,,,1H,2J,Los Angeles,,
83,2026-07-03 02:00:00,,,2K,2L,Toronto,,
85,2026-07-03 06:00:00,,,1B,3-EFGIJ,Vancouver,,
88,2026-07-03 21:00:00,,,2D,2G,Dallas,,
86,2026-07-04 01:00:00,,,1J,2H,Miami,,
87,2026-07-04 04:30:00,,,1K,3-DEIJL,Kansas City,,
90,2026-07-04 20:00:00,,,W73,W75,Houston,,
89,2026-07-05 00:00:00,,,W74,W77,Philadelphia,,
91,2026-07-05 23:00:00,,,W76,W78,New York/New Jersey,,
92,2026-07-06 03:00:00,,,W79,W80,Mexico City,,
93,2026-07-06 22:00:00,,,W83,W84,Dallas,,
94,2026-07-07 03:00:00,,,W81,W82,Seattle,,
95,2026-07-07 19:00:00,,,W86,W88,Atlanta,,
96,2026-07-07 23:00:00,,,W85,W87,Vancouver,,
97,2026-07-09 23:00:00,,,W89,W90,Boston,,
98,2026-07-10 22:00:00,,,W93,W94,Los Angeles,,
99,2026-07-12 00:00:00,,,W91,W92,Miami,,
100,2026-07-12 04:00:00,,,W95,W96,Kansas City,,
101,2026-07-14 22:00:00,,,W97,W98,Dallas,,
102,2026-07-15 22:00:00,,,W99,W100,Atlanta,,
103,2026-07-19 00:00:00,,,RU101,RU102,Miami,,
104,2026-07-19 22:00:00,,,W101,W102,New York/New Jersey,,
